,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,posicion,contrato,Value,Wage,Special
13,212616,R. De Paul,24,https://cdn.sofifa.org/players/4/19/212616.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,82,SUB,2016 ~ 2023,€12M,€12M,1914
14,214997,A. Correa,23,https://cdn.sofifa.org/players/4/19/214997.png,Argentina,https://cdn.sofifa.org/flags/52.png,81,87,SUB,2014 ~ 2024,€24.5M,€24.5M,2045
15,226377,G. Martínez,25,https://cdn.sofifa.org/players/4/19/226377.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,81,SUB,2019 ~ 2020,€13M,€13M,1951
16,225659,G. Rodríguez,23,https://cdn.sofifa.org/players/4/19/225659.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,80,SUB,2017 ~ 2023,€9.5M,€9.5M,1822
17,214584,F. Armani,31,https://cdn.sofifa.org/players/4/19/214584.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,80,SUB,2018 ~ 2022,€9M,€9M,1231
18,188042,M. Suárez,30,https://cdn.sofifa.org/players/4/19/188042.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,77,RES,2019 ~ 2022,€8.5M,€8.5M,1900
19,237221,J. Foyth,20,https://cdn.sofifa.org/players/4/19/237221.png,Argentina,https://cdn.sofifa.org/flags/52.png,74,85,RES,2017 ~ 2022,€8.5M,€8.5M,1772
20,235926,M. Zaracho,20,https://cdn.sofifa.org/players/4/19/235926.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,87,RES,2016 ~ 2021,€16M,€16M,1981
21,224065,D. Blanco,23,https://cdn.sofifa.org/players/4/19/224065.png,Argentina,https://cdn.sofifa.org/flags/52.png,73,79,RES,"un 30, 2019",€5.5M,€5.5M,1959
22,214979,J. Musso,24,https://cdn.sofifa.org/players/4/19/214979.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,82,RES,2018 ~ 2023,€7.5M,€7.5M,1153
23,196885,C. Lampe,31,https://cdn.sofifa.org/players/4/19/196885.png,Bolivia,https://cdn.sofifa.org/flags/53.png,69,69,GK,"GK (1)
Free",€0,€0,1051
24,216751,D. Bejarano,26,https://cdn.sofifa.org/players/4/19/216751.png,Bolivia,https://cdn.sofifa.org/flags/53.png,65,65,RB,"RB (8)
Free",€0,€0,1536
25,247884,A. Jusino,25,https://cdn.sofifa.org/players/4/19/247884.png,Bolivia,https://cdn.sofifa.org/flags/53.png,63,66,RCB,"B (22)
Free",€0,€0,1279
26,246065,L. Haquin,20,https://cdn.sofifa.org/players/4/19/246065.png,Bolivia,https://cdn.sofifa.org/flags/53.png,67,73,LCB,2019 ~ 2019,€900K,€900K,1479
27,196930,M. Bejarano,30,https://cdn.sofifa.org/players/4/19/196930.png,Bolivia,https://cdn.sofifa.org/flags/53.png,68,68,LB,"B (17)
Free",€0,€0,1612
28,241131,L. Justiniano,25,https://cdn.sofifa.org/players/4/19/241131.png,Bolivia,https://cdn.sofifa.org/flags/53.png,65,68,CDM,"DM (7)
Free",€0,€0,1558
29,211338,A. Chumacero,27,https://cdn.sofifa.org/players/4/19/211338.png,Bolivia,https://cdn.sofifa.org/flags/53.png,74,74,RM,2018 ~ 2022,€6M,€6M,2028
30,225708,R. Castro,28,https://cdn.sofifa.org/players/4/19/225708.png,Bolivia,https://cdn.sofifa.org/flags/53.png,64,64,RCM,"M (14)
Free",€0,€0,1572
31,199830,S. Galindo,26,https://cdn.sofifa.org/players/4/19/199830.png,Bolivia,https://cdn.sofifa.org/flags/53.png,65,66,LCM,"M (10)
Free",€0,€0,1696
32,231575,L. Vaca,22,https://cdn.sofifa.org/players/4/19/231575.png,Bolivia,https://cdn.sofifa.org/flags/53.png,64,73,LM,"M (19)
Free",€0,€0,1502
33,196910,G. Álvarez,26,https://cdn.sofifa.org/players/4/19/196910.png,Bolivia,https://cdn.sofifa.org/flags/53.png,64,65,ST,"T (18)
Free",€0,€0,1521
34,246067,H. Vaca,20,https://cdn.sofifa.org/players/4/19/246067.png,Bolivia,https://cdn.sofifa.org/flags/53.png,69,77,SUB,"B (13)
Free",€0,€0,1748
35,247885,R. Vaca,19,https://cdn.sofifa.org/players/4/19/247885.png,Bolivia,https://cdn.sofifa.org/flags/53.png,67,82,SUB,"B (20)
Free",€0,€0,1588
36,246189,C. Arano,23,https://cdn.sofifa.org/players/4/19/246189.png,Bolivia,https://cdn.sofifa.org/flags/53.png,62,68,SUB,"B (21)
Free",€0,€0,1608
37,247886,J. Vargas,22,https://cdn.sofifa.org/players/4/19/247886.png,Bolivia,https://cdn.sofifa.org/flags/53.png,62,68,SUB,"B (15)
Free",€0,€0,1560
38,231301,E. Saavedra,22,https://cdn.sofifa.org/players/4/19/231301.png,Bolivia,https://cdn.sofifa.org/flags/53.png,63,72,SUB,"UB (6)
Free",€0,€0,1507
39,248052,R. Fernández,18,https://cdn.sofifa.org/players/4/19/248052.png,Bolivia,https://cdn.sofifa.org/flags/53.png,60,76,SUB,"B (16)
Free",€0,€0,1428
40,247882,R. Cordano,19,https://cdn.sofifa.org/players/4/19/247882.png,Bolivia,https://cdn.sofifa.org/flags/53.png,68,76,SUB,"B (12)
Free",€0,€0,943
41,247883,S. Torres,28,https://cdn.sofifa.org/players/4/19/247883.png,Bolivia,https://cdn.sofifa.org/flags/53.png,64,64,RES,"S (11)
Free",€0,€0,1516
42,220545,R. Ramallo,27,https://cdn.sofifa.org/players/4/19/220545.png,Bolivia,https://cdn.sofifa.org/flags/53.png,65,65,RES,"ES (9)
Free",€0,€0,1536
43,241132,J. Candía,22,https://cdn.sofifa.org/players/4/19/241132.png,Bolivia,https://cdn.sofifa.org/flags/53.png,64,74,RES,"ES (2)
Free",€0,€0,1331
44,181375,M. Martins,31,https://cdn.sofifa.org/players/4/19/181375.png,Bolivia,https://cdn.sofifa.org/flags/53.png,72,72,RES,"ES (5)
Free",€0,€0,1777
45,236241,G. Viscarra,25,https://cdn.sofifa.org/players/4/19/236241.png,Bolivia,https://cdn.sofifa.org/flags/53.png,66,71,RES,"S (23)
Free",€0,€0,921
46,230168,Raphaelito Anjos,30,https://cdn.sofifa.org/players/4/19/230168.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,GK,2018 ~ 2021,€14M,€14M,1191
47,230201,Maikel Catarino,34,https://cdn.sofifa.org/players/4/19/230201.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,79,RB,2018 ~ 2021,€3.6M,€3.6M,1953
48,230225,Juiano Mestres,34,https://cdn.sofifa.org/players/4/19/230225.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,RCB,2018 ~ 2021,€6.5M,€6.5M,2003
49,230375,Josué Chiamulera,26,https://cdn.sofifa.org/players/4/19/230375.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,83,LCB,2018 ~ 2021,€22.5M,€22.5M,1894
50,230347,Welington Dano,30,https://cdn.sofifa.org/players/4/19/230347.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,80,LB,2018 ~ 2021,€10.5M,€10.5M,2068
51,230234,Everton Andrão,34,https://cdn.sofifa.org/players/4/19/230234.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,80,CDM,2018 ~ 2021,€4.5M,€4.5M,2050
52,230258,Rosberto Dourado,30,https://cdn.sofifa.org/players/4/19/230258.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,82,RCM,2018 ~ 2021,€16.5M,€16.5M,2061
53,230251,Melvin Parrela,30,https://cdn.sofifa.org/players/4/19/230251.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,79,LCM,2018 ~ 2021,€9.5M,€9.5M,2099
54,230481,Ronaldo Cabrais,26,https://cdn.sofifa.org/players/4/19/230481.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,83,RW,2018 ~ 2021,€28M,€28M,2095
55,230294,Louri Beretta,26,https://cdn.sofifa.org/players/4/19/230294.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,83,ST,2018 ~ 2021,€28.5M,€28.5M,1921
56,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,92,LW,2017 ~ 2022,€108M,€108M,2150
57,230498,Luimo Boas Santos,30,https://cdn.sofifa.org/players/4/19/230498.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,79,SUB,2018 ~ 2021,€12M,€12M,1895
58,230271,Laure Santeiro,30,https://cdn.sofifa.org/players/4/19/230271.png,Brazil,https://cdn.sofifa.org/flags/54.png,81,81,SUB,2018 ~ 2021,€17M,€17M,1853
59,230269,Claudio Coíntra,34,https://cdn.sofifa.org/players/4/19/230269.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,SUB,2018 ~ 2021,€5M,€5M,1903
60,230431,Sidney Pessinho,26,https://cdn.sofifa.org/players/4/19/230431.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,SUB,2018 ~ 2021,€9M,€9M,2012
61,230212,Antônio Chiamuloira,30,https://cdn.sofifa.org/players/4/19/230212.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,79,SUB,2018 ~ 2021,€9.5M,€9.5M,1813
62,230183,Gazzolisco,30,https://cdn.sofifa.org/players/4/19/230183.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,SUB,2018 ~ 2021,€6.5M,€6.5M,2123
63,230312,Gabri Prestão,26,https://cdn.sofifa.org/players/4/19/230312.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,79,SUB,2018 ~ 2021,€9M,€9M,1153
64,230360,Everticinho,30,https://cdn.sofifa.org/players/4/19/230360.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,RES,2018 ~ 2021,€7.5M,€7.5M,2075
65,230274,Dani Rochelinhas,26,https://cdn.sofifa.org/players/4/19/230274.png,Brazil,https://cdn.sofifa.org/flags/54.png,75,75,RES,2018 ~ 2021,€7M,€7M,1815
66,230463,Simão Acunha,30,https://cdn.sofifa.org/players/4/19/230463.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,RES,2018 ~ 2021,€8.5M,€8.5M,1903
67,230475,Adilson Edrada,26,https://cdn.sofifa.org/players/4/19/230475.png,Brazil,https://cdn.sofifa.org/flags/54.png,75,75,RES,2018 ~ 2021,€7M,€7M,1838
68,230323,Kaíquão Castro,34,https://cdn.sofifa.org/players/4/19/230323.png,Brazil,https://cdn.sofifa.org/flags/54.png,75,75,RES,2018 ~ 2021,€2.7M,€2.7M,1113
69,223249,G. Arias,30,https://cdn.sofifa.org/players/4/19/223249.png,Chile,https://cdn.sofifa.org/flags/55.png,77,77,GK,2018 ~ 2021,€5.5M,€5.5M,1152
70,187800,M. Isla,30,https://cdn.sofifa.org/players/4/19/187800.png,Chile,https://cdn.sofifa.org/flags/55.png,75,75,RB,2017 ~ 2020,€4.8M,€4.8M,2020
71,193532,G. Medel,30,https://cdn.sofifa.org/players/4/19/193532.png,Chile,https://cdn.sofifa.org/flags/55.png,79,79,RCB,2017 ~ 2020,€9.5M,€9.5M,1966
72,219145,G. Maripán,24,https://cdn.sofifa.org/players/4/19/219145.png,Chile,https://cdn.sofifa.org/flags/55.png,77,81,LCB,2017 ~ 2021,€10M,€10M,1482
73,209744,E. Mena,29,https://cdn.sofifa.org/players/4/19/209744.png,Chile,https://cdn.sofifa.org/flags/55.png,76,76,LB,2018 ~ 2022,€6M,€6M,1937
74,199827,P. Hernández,31,https://cdn.sofifa.org/players/4/19/199827.png,Chile,https://cdn.sofifa.org/flags/55.png,77,77,RM,2018 ~ 2022,€7.5M,€7.5M,2007
75,213629,E. Pulgar,24,https://cdn.sofifa.org/players/4/19/213629.png,Chile,https://cdn.sofifa.org/flags/55.png,77,82,RCM,2015 ~ 2022,€10M,€10M,2034
76,181872,A. Vidal,31,https://cdn.sofifa.org/players/4/19/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,85,85,CM,2018 ~ 2021,€33M,€33M,2255
77,199042,C. Aránguiz,29,https://cdn.sofifa.org/players/4/19/199042.png,Chile,https://cdn.sofifa.org/flags/55.png,82,82,LCM,2015 ~ 2020,€21.5M,€21.5M,2152
78,213597,D. Valdés,24,https://cdn.sofifa.org/players/4/19/213597.png,Chile,https://cdn.sofifa.org/flags/55.png,75,79,LM,2019 ~ 2019,€8.5M,€8.5M,1927
79,212878,N. Castillo,25,https://cdn.sofifa.org/players/4/19/212878.png,Chile,https://cdn.sofifa.org/flags/55.png,76,79,ST,2019 ~ 2022,€10M,€10M,1897
80,213620,F. Mora,24,https://cdn.sofifa.org/players/4/19/213620.png,Chile,https://cdn.sofifa.org/flags/55.png,74,78,SUB,2018 ~ 2019,€7.5M,€7.5M,1732
81,204709,D. Rubio,25,https://cdn.sofifa.org/players/4/19/204709.png,Chile,https://cdn.sofifa.org/flags/55.png,69,72,SUB,2019 ~ 2022,€1.3M,€1.3M,1752
82,214408,I. Lichnovsky,24,https://cdn.sofifa.org/players/4/19/214408.png,Chile,https://cdn.sofifa.org/flags/55.png,73,79,SUB,2018 ~ 2019,€4.7M,€4.7M,1698
83,214838,O. Opazo,27,https://cdn.sofifa.org/players/4/19/214838.png,Chile,https://cdn.sofifa.org/flags/55.png,73,73,SUB,2017 ~ 2020,€3.3M,€3.3M,1991
84,214436,P. Díaz,23,https://cdn.sofifa.org/players/4/19/214436.png,Chile,https://cdn.sofifa.org/flags/55.png,71,77,SUB,2018 ~ 2021,€2.8M,€2.8M,1776
85,219087,S. Vegas,21,https://cdn.sofifa.org/players/4/19/219087.png,Chile,https://cdn.sofifa.org/flags/55.png,70,78,SUB,2016 ~ 2023,€2.2M,€2.2M,1766
86,215086,B. Cortés,23,https://cdn.sofifa.org/players/4/19/215086.png,Chile,https://cdn.sofifa.org/flags/55.png,72,79,SUB,2018 ~ 2022,€3.2M,€3.2M,1217
87,229469,J. Meneses,25,https://cdn.sofifa.org/players/4/19/229469.png,Chile,https://cdn.sofifa.org/flags/55.png,70,71,RES,2018 ~ 2019,€2.1M,€2.1M,1742
88,214294,E. Pavez,28,https://cdn.sofifa.org/players/4/19/214294.png,Chile,https://cdn.sofifa.org/flags/55.png,73,73,RES,2018 ~ 2023,€4M,€4M,1971
89,194795,G. Jara,32,https://cdn.sofifa.org/players/4/19/194795.png,Chile,https://cdn.sofifa.org/flags/55.png,73,73,RES,2019 ~ 2020,€2.3M,€2.3M,1782
90,184941,A. Sánchez,29,https://cdn.sofifa.org/players/4/19/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,83,83,RES,2018 ~ 2022,€25.5M,€25.5M,2144
91,213413,L. Vigouroux,24,https://cdn.sofifa.org/players/4/19/213413.png,Chile,https://cdn.sofifa.org/flags/55.png,64,65,RES,2016 ~ 2019,€375K,€375K,1070
92,212067,C. Vargas,29,https://cdn.sofifa.org/players/4/19/212067.png,Colombia,https://cdn.sofifa.org/flags/56.png,77,78,GK,2019 ~ 2022,€7M,€7M,1268
93,218981,H. Palacios,25,https://cdn.sofifa.org/players/4/19/218981.png,Colombia,https://cdn.sofifa.org/flags/56.png,73,76,RB,2018 ~ 2023,€4.1M,€4.1M,1827
94,220523,Y. Mina,23,https://cdn.sofifa.org/players/4/19/220523.png,Colombia,https://cdn.sofifa.org/flags/56.png,78,83,RCB,2018 ~ 2023,€12M,€12M,1742
95,220793,D. Sánchez,22,https://cdn.sofifa.org/players/4/19/220793.png,Colombia,https://cdn.sofifa.org/flags/56.png,83,87,LCB,2017 ~ 2024,€28.5M,€28.5M,1805
96,220837,D. Machado,24,https://cdn.sofifa.org/players/4/19/220837.png,Colombia,https://cdn.sofifa.org/flags/56.png,71,75,LB,"un 30, 2019",€2.6M,€2.6M,1861
97,213991,J. Lerma,23,https://cdn.sofifa.org/players/4/19/213991.png,Colombia,https://cdn.sofifa.org/flags/56.png,79,83,RCM,2018 ~ 2023,€14M,€14M,2091
98,214394,W. Barrios,24,https://cdn.sofifa.org/players/4/19/214394.png,Colombia,https://cdn.sofifa.org/flags/56.png,78,83,LCM,"CM (5)
Free",€0,€0,1854
99,198710,J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,87,88,CAM,"un 30, 2019",€59M,€59M,2166
100,233959,S. Villa,22,https://cdn.sofifa.org/players/4/19/233959.png,Colombia,https://cdn.sofifa.org/flags/56.png,73,82,RW,2018 ~ 2023,€6M,€6M,1722
101,167397,Falcao,32,https://cdn.sofifa.org/players/4/19/167397.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,84,ST,2013 ~ 2020,€25M,€25M,2020
102,199110,L. Muriel,27,https://cdn.sofifa.org/players/4/19/199110.png,Colombia,https://cdn.sofifa.org/flags/56.png,80,80,LW,"un 30, 2019",€16M,€16M,1906
103,215333,D. Zapata,27,https://cdn.sofifa.org/players/4/19/215333.png,Colombia,https://cdn.sofifa.org/flags/56.png,82,82,SUB,"un 30, 2020",€23.5M,€23.5M,1815
104,221714,A. Morelos,22,https://cdn.sofifa.org/players/4/19/221714.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,85,SUB,2017 ~ 2023,€11M,€11M,1836
105,214047,M. Uribe,27,https://cdn.sofifa.org/players/4/19/214047.png,Colombia,https://cdn.sofifa.org/flags/56.png,76,76,SUB,2017 ~ 2019,€8M,€8M,2055
106,241084,L. Díaz,21,https://cdn.sofifa.org/players/4/19/241084.png,Colombia,https://cdn.sofifa.org/flags/56.png,74,85,SUB,2017 ~ 2021,€9.5M,€9.5M,1785
107,201377,J. Murillo,26,https://cdn.sofifa.org/players/4/19/201377.png,Colombia,https://cdn.sofifa.org/flags/56.png,80,83,SUB,"un 30, 2019",€15.5M,€15.5M,1855
108,227153,C. Borja,25,https://cdn.sofifa.org/players/4/19/227153.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,78,SUB,2019 ~ 2024,€7M,€7M,1864
109,214462,I. Arboleda,22,https://cdn.sofifa.org/players/4/19/214462.png,Colombia,https://cdn.sofifa.org/flags/56.png,74,81,SUB,2015 ~ 2020,€6M,€6M,1231
110,214169,W. Tesillo,28,https://cdn.sofifa.org/players/4/19/214169.png,Colombia,https://cdn.sofifa.org/flags/56.png,74,74,RES,2018 ~ 2023,€4.6M,€4.6M,1541
111,192342,E. Cardona,25,https://cdn.sofifa.org/players/4/19/192342.png,Colombia,https://cdn.sofifa.org/flags/56.png,76,77,RES,"ec 31, 2020",€9M,€9M,1962
112,207664,C. Bacca,31,https://cdn.sofifa.org/players/4/19/207664.png,Colombia,https://cdn.sofifa.org/flags/56.png,80,80,RES,2018 ~ 2022,€13.5M,€13.5M,1870
113,198581,O. Murillo,30,https://cdn.sofifa.org/players/4/19/198581.png,Colombia,https://cdn.sofifa.org/flags/56.png,75,75,RES,2016 ~ 2022,€4.9M,€4.9M,1643
114,229541,A. Montero,23,https://cdn.sofifa.org/players/4/19/229541.png,Colombia,https://cdn.sofifa.org/flags/56.png,72,79,RES,2018 ~ 2023,€3.2M,€3.2M,1175
115,199103,A. Domínguez,31,https://cdn.sofifa.org/players/4/19/199103.png,Ecuador,https://cdn.sofifa.org/flags/57.png,70,70,GK,2018 ~ 2021,€1.1M,€1.1M,1113
116,207448,J. Paredes,30,https://cdn.sofifa.org/players/4/19/207448.png,Ecuador,https://cdn.sofifa.org/flags/57.png,70,70,RB,"RB (4)
Free",€0,€0,1825
117,204406,G. Achilier,33,https://cdn.sofifa.org/players/4/19/204406.png,Ecuador,https://cdn.sofifa.org/flags/57.png,71,71,RCB,2017 ~ 2022,€950K,€950K,1425
118,246406,X. Arreaga,23,https://cdn.sofifa.org/players/4/19/246406.png,Ecuador,https://cdn.sofifa.org/flags/57.png,67,72,LCB,2019 ~ 2021,€875K,€875K,1377
119,246403,B. Caicedo,26,https://cdn.sofifa.org/players/4/19/246403.png,Ecuador,https://cdn.sofifa.org/flags/57.png,72,73,LB,"B (13)
Free",€0,€0,1823
120,221860,C. Gruezo,23,https://cdn.sofifa.org/players/4/19/221860.png,Ecuador,https://cdn.sofifa.org/flags/57.png,72,79,CDM,2016 ~ 2019,€3.7M,€3.7M,1801
121,167905,A. Valencia,32,https://cdn.sofifa.org/players/4/19/167905.png,Ecuador,https://cdn.sofifa.org/flags/57.png,78,78,RM,2009 ~ 2019,€5.5M,€5.5M,2096
122,236270,J. Orejuela,25,https://cdn.sofifa.org/players/4/19/236270.png,Ecuador,https://cdn.sofifa.org/flags/57.png,69,73,RCM,"M (18)
Free",€0,€0,1780
123,246057,S. Méndez,21,https://cdn.sofifa.org/players/4/19/246057.png,Ecuador,https://cdn.sofifa.org/flags/57.png,65,74,LCM,2019 ~ 2021,€725K,€725K,1763
124,204738,R. Ibarra,27,https://cdn.sofifa.org/players/4/19/204738.png,Ecuador,https://cdn.sofifa.org/flags/57.png,75,75,LM,2016 ~ 2019,€7M,€7M,1938
125,241498,R. Ibarra,23,https://cdn.sofifa.org/players/4/19/241498.png,Ecuador,https://cdn.sofifa.org/flags/57.png,69,73,ST,2018 ~ 2021,€1.4M,€1.4M,1760
126,220295,E. Valencia,28,https://cdn.sofifa.org/players/4/19/220295.png,Ecuador,https://cdn.sofifa.org/flags/57.png,76,76,SUB,2017 ~ 2019,€8M,€8M,1973
127,223053,A. Mena,30,https://cdn.sofifa.org/players/4/19/223053.png,Ecuador,https://cdn.sofifa.org/flags/57.png,75,75,SUB,2019 ~ 2023,€6.5M,€6.5M,1877
128,241412,A. Preciado,23,https://cdn.sofifa.org/players/4/19/241412.png,Ecuador,https://cdn.sofifa.org/flags/57.png,71,75,SUB,2018 ~ 2019,€3.1M,€3.1M,1806
129,241406,J. Intriago,22,https://cdn.sofifa.org/players/4/19/241406.png,Ecuador,https://cdn.sofifa.org/flags/57.png,66,75,SUB,"B (15)
Free",€0,€0,1772
130,246055,A. Preciado,20,https://cdn.sofifa.org/players/4/19/246055.png,Ecuador,https://cdn.sofifa.org/flags/57.png,65,75,SUB,"B (19)
Free",€0,€0,1542
131,205207,C. Ramírez,23,https://cdn.sofifa.org/players/4/19/205207.png,Ecuador,https://cdn.sofifa.org/flags/57.png,72,77,SUB,"UB (2)
Free",€0,€0,1816
132,189024,M. Banguera,32,https://cdn.sofifa.org/players/4/19/189024.png,Ecuador,https://cdn.sofifa.org/flags/57.png,73,73,SUB,"UB (1)
Free",€0,€0,1016
133,223052,J. Narváez,27,https://cdn.sofifa.org/players/4/19/223052.png,Ecuador,https://cdn.sofifa.org/flags/57.png,65,65,RES,"ES (3)
Free",€0,€0,1529
134,225680,A. Mina,27,https://cdn.sofifa.org/players/4/19/225680.png,Ecuador,https://cdn.sofifa.org/flags/57.png,73,74,RES,2017 ~ 2019,€3.8M,€3.8M,1577
135,187457,C. Noboa,33,https://cdn.sofifa.org/players/4/19/187457.png,Ecuador,https://cdn.sofifa.org/flags/57.png,79,79,RES,"ES (6)
Free",€0,€0,2168
136,207653,M. Bolaños,28,https://cdn.sofifa.org/players/4/19/207653.png,Ecuador,https://cdn.sofifa.org/flags/57.png,72,72,RES,2018 ~ 2019,€3.1M,€3.1M,1758
137,225678,H. Piedra,25,https://cdn.sofifa.org/players/4/19/225678.png,Ecuador,https://cdn.sofifa.org/flags/57.png,67,71,RES,"S (12)
Free",€0,€0,1112
138,156092,J. Villar,41,https://cdn.sofifa.org/players/4/19/156092.png,Paraguay,https://cdn.sofifa.org/flags/58.png,77,77,GK,"GK (1)
Free",€0,€0,1168
139,225880,J. Moreira,28,https://cdn.sofifa.org/players/4/19/225880.png,Paraguay,https://cdn.sofifa.org/flags/58.png,72,72,RB,"ec 31, 2019",€2.5M,€2.5M,1821
140,140222,P. Da Silva,38,https://cdn.sofifa.org/players/4/19/140222.png,Paraguay,https://cdn.sofifa.org/flags/58.png,72,72,RCB,"CB (4)
Free",€0,€0,1703
141,224909,P. Aguedar,30,https://cdn.sofifa.org/players/4/19/224909.png,Paraguay,https://cdn.sofifa.org/flags/58.png,74,74,LCB,"B (14)
Free",€0,€0,1786
142,220337,J. Alonso,25,https://cdn.sofifa.org/players/4/19/220337.png,Paraguay,https://cdn.sofifa.org/flags/58.png,75,80,LB,"un 30, 2020",€7.5M,€7.5M,1839
143,182579,V. Cáceres,33,https://cdn.sofifa.org/players/4/19/182579.png,Paraguay,https://cdn.sofifa.org/flags/58.png,75,75,RDM,"M (15)
Free",€0,€0,2012
144,198129,C. Ortíz,29,https://cdn.sofifa.org/players/4/19/198129.png,Paraguay,https://cdn.sofifa.org/flags/58.png,77,77,LDM,2016 ~ 2019,€7M,€7M,1926
145,225884,J. Riojas,30,https://cdn.sofifa.org/players/4/19/225884.png,Paraguay,https://cdn.sofifa.org/flags/58.png,71,71,RM,"M (20)
Free",€0,€0,1776
146,209102,M. Etxeberría,26,https://cdn.sofifa.org/players/4/19/209102.png,Paraguay,https://cdn.sofifa.org/flags/58.png,74,74,LM,"M (10)
Free",€0,€0,2003
147,174381,C. Riveros,35,https://cdn.sofifa.org/players/4/19/174381.png,Paraguay,https://cdn.sofifa.org/flags/58.png,76,76,CAM,"M (16)
Free",€0,€0,2012
148,219932,A. Sanabria,22,https://cdn.sofifa.org/players/4/19/219932.png,Paraguay,https://cdn.sofifa.org/flags/58.png,78,85,ST,"un 30, 2019",€15M,€15M,1881
